applicant_license,owner_business_name,applicant_business_name,owner_name,borough,address,zip_code,job_type,filing_date,contact_name_current,phone_current,job_filing_number_example,notes
027617,--NONE--,--NONE--,--NONE--,BROOKLYN,162 CLINTON STREET,11201,Alteration,2026-03-31T04:00:00.000Z,JERZY KOZIEJ,,B01377876-I1,
071131,062714902,062714902,062714902,BROOKLYN,86 VAN SICLEN AVENUE,11358,Alteration,2026-03-20T04:00:00.000Z,,,B01369808-S1,
075323,1 FIRST PLACE OWNERS CORP,1 FIRST PLACE OWNERS CORP,1 FIRST PLACE OWNERS CORP,BROOKLYN,579 HENRY STREET,10010,Alteration,2026-04-03T04:00:00.000Z,,,B00882743-P1,
090417,10 ELDRIDGE LLC,10 ELDRIDGE LLC,10 ELDRIDGE LLC,MANHATTAN,10 ELDRIDGE STREET,11361,Alteration,2026-03-24T04:00:00.000Z,,,M01059838-P1,
099856,10 ELDRIDGE LLC,10 ELDRIDGE LLC,10 ELDRIDGE LLC,MANHATTAN,10 ELDRIDGE STREET,10305,Alteration,2026-03-26T04:00:00.000Z,,,M01059838-S6,
071109,101 Greenwich Property Owner LLC,101 Greenwich Property Owner LLC,101 Greenwich Property Owner LLC,MANHATTAN,101 GREENWICH STREET,10018,Alteration,2026-03-31T04:00:00.000Z,,,M01355854-S3,
082894,101 Greenwich Property Owner LLC,101 Greenwich Property Owner LLC,101 Greenwich Property Owner LLC,MANHATTAN,101 GREENWICH STREET,10016,Alteration,2026-03-31T04:00:00.000Z,,,M01340465-P1,
071504,101 PARK AVENUE ASSOCIATES,101 PARK AVENUE ASSOCIATES,101 PARK AVENUE ASSOCIATES,MANHATTAN,101 PARK AVENUE,10019,Alteration,2026-03-27T04:00:00.000Z,,,M01366363-S2,
071532,101 PARK AVENUE ASSOCIATES,101 PARK AVENUE ASSOCIATES,101 PARK AVENUE ASSOCIATES,MANHATTAN,101 PARK AVENUE,10001,Alteration,2026-03-20T04:00:00.000Z,,,M01371660-I1,
111416,101 PARK AVENUE ASSOCIATES,101 PARK AVENUE ASSOCIATES,101 PARK AVENUE ASSOCIATES,MANHATTAN,101 PARK AVENUE,93012,Alteration,2026-04-02T04:00:00.000Z,,,M01233082-P3,
096997,101 WEST END REIT LLC,101 WEST END REIT LLC,101 WEST END REIT LLC,MANHATTAN,220 EAST   72 STREET,10017,Alteration,2026-04-08T04:00:00.000Z,,,M00429654-P1,
102362,1018 St. Paul's LLC,1018 St. Paul's LLC,1018 St. Paul's LLC,STATEN ISLAND,12 ST PAULS AVENUE,11747,Alteration,2026-03-26T04:00:00.000Z,,,S01299571-S3,
086301,104-22 PROPERTY INC,104-22 PROPERTY INC,104-22 PROPERTY INC,QUEENS,104-22 CORONA AVENUE,11354,ALT-CO - New Building with Existing Elements to Remain,2026-04-14T04:00:00.000Z,,,Q00577002-P3,
035279,105 23rd Street Jackson Heights Inc,105 23rd Street Jackson Heights Inc,105 23rd Street Jackson Heights Inc,QUEENS,35-54 80 STREET,11206,Alteration,2026-04-07T04:00:00.000Z,,,Q01382617-I1,
018358,105 REALTY CORP,105 REALTY CORP,105 REALTY CORP,MANHATTAN,207 EAST   16 STREET,10314,Alteration,2026-04-02T04:00:00.000Z,THOMAS MOSCHETTO,,M01343764-I1,
070154,105-29 OWNERS LLC,105-29 OWNERS LLC,105-29 OWNERS LLC,QUEENS,105-29 LIBERTY AVENUE,11415,Alteration CO,2026-04-13T04:00:00.000Z,,,Q01383481-I1,
086805,"107 2P & C, LLC","107 2P & C, LLC","107 2P & C, LLC",BROOKLYN,107 2 PLACE,10004,Alteration,2026-04-13T04:00:00.000Z,,,B00685246-P1,
099856,10709 HOLDING  LLC,10709 HOLDING  LLC,10709 HOLDING  LLC,MANHATTAN,525 WEST  173 STREET,10305,New Building,2026-04-13T04:00:00.000Z,,,M01284142-S2,
039963,111-117 W 96 ST OWNERS INC,111-117 W 96 ST OWNERS INC,111-117 W 96 ST OWNERS INC,MANHATTAN,111 WEST   96 STREET,10580,Alteration,2026-04-14T04:00:00.000Z,,,M01302790-I1,
085541,111-117 W 96 ST OWNERS INC,111-117 W 96 ST OWNERS INC,111-117 W 96 ST OWNERS INC,MANHATTAN,111 WEST   96 STREET,10962,Alteration,2026-04-01T04:00:00.000Z,,,M01376172-I1,
