id,jobFilingNumber,borough,house_number,street_name,address,zip_code,job_type,permit_status,filing_date,issuance_date,job_description,estimated_job_costs,owner_name,owner_business_name,applicant_business_name,applicant_license,latitude,longitude,community_board,council_district,census_tract,nta,source
dob-now-M01386053-I1,M01386053-I1,MANHATTAN,113,WEST   27 STREET,113 WEST   27 STREET,11355,Alteration,Pending Prof Cert QA Assignment,2026-04-15T04:00:00.000Z,2026-04-15T08:01:56.000Z,"Other | Floor Number(s) 001 through 001, Roof",45500,Jee Foo Realty Corp,Jee Foo Realty Corp,Jee Foo Realty Corp,033372,40.745768,-73.991764,105,03,95,Midtown South-Flatiron-Union Square,NYC DOB NOW Build Job Application Filings
dob-now-M01386053-S1,M01386053-S1,MANHATTAN,113,WEST   27 STREET,113 WEST   27 STREET,11355,Alteration,Pending Prof Cert QA Assignment,2026-04-15T04:00:00.000Z,2026-04-15T08:11:45.000Z,Other | Floor Number(s) 001 through 001,18000,Jee Foo Realty Corp,Jee Foo Realty Corp,Jee Foo Realty Corp,033372,40.745768,-73.991764,105,03,95,Midtown South-Flatiron-Union Square,NYC DOB NOW Build Job Application Filings
dob-now-M01259594-P3,M01259594-P3,MANHATTAN,1,FIFTH AVENUE,1 FIFTH AVENUE,10001,Alteration,Prof Cert QA Review,2026-04-14T04:00:00.000Z,2026-04-14T23:16:02.000Z,"Other | Cellar, Floor Number(s) 001 through 001",50000,Golden Steer,Golden Steer,Golden Steer,090312,40.731913,-73.996587,102,02,59,Greenwich Village,NYC DOB NOW Build Job Application Filings
dob-now-M01385141-I1,M01385141-I1,MANHATTAN,1,MANHATTAN PLAZA,1 MANHATTAN PLAZA,10018,No Work,Pending Plan Examiner Assignment,2026-04-14T04:00:00.000Z,2026-04-14T22:47:16.000Z,Open Space,0,Private Owner,N/A,N/A,025077,,,118,,,,NYC DOB NOW Build Job Application Filings
dob-now-M01385142-I1,M01385142-I1,MANHATTAN,1,MANHATTAN PLAZA,1 MANHATTAN PLAZA,10018,Alteration,Pending Prof Cert QA Assignment,2026-04-14T04:00:00.000Z,2026-04-14T22:31:23.000Z,Other | Open Space,5000,IDEKO,IDEKO,IDEKO,025077,,,118,,,,NYC DOB NOW Build Job Application Filings
dob-now-M01366949-I1,M01366949-I1,MANHATTAN,1,PARK AVENUE,1 PARK AVENUE,10562,Alteration,Prof Cert QA Review,2026-04-14T04:00:00.000Z,2026-04-14T17:30:57.000Z,Other | Floor Number(s) 1 through 1,45000,VORNADO REALTY TRUST,VORNADO REALTY TRUST,VORNADO REALTY TRUST,087714,40.746069,-73.982071,105,02,72,Murray Hill-Kips Bay,NYC DOB NOW Build Job Application Filings
dob-now-M01370608-I1,M01370608-I1,MANHATTAN,1,PARK AVENUE,1 PARK AVENUE,10562,Alteration,Approved,2026-04-14T04:00:00.000Z,2026-04-14T18:51:12.000Z,Other | Floor Number(s) 1 through 1,10000,VORNADO REALTY TRUST,VORNADO REALTY TRUST,VORNADO REALTY TRUST,087714,40.746069,-73.982071,105,02,72,Murray Hill-Kips Bay,NYC DOB NOW Build Job Application Filings
dob-now-M01370613-I1,M01370613-I1,MANHATTAN,1,PARK AVENUE,1 PARK AVENUE,10562,Alteration,Approved,2026-04-14T04:00:00.000Z,2026-04-14T18:56:58.000Z,Other | Floor Number(s) 1 through 1,9000,VORNADO REALTY TRUST,VORNADO REALTY TRUST,VORNADO REALTY TRUST,087714,40.746069,-73.982071,105,02,72,Murray Hill-Kips Bay,NYC DOB NOW Build Job Application Filings
dob-now-M01368683-I1,M01368683-I1,MANHATTAN,10,HUDSON YARDS,10 HUDSON YARDS,10016,Alteration,Approved,2026-04-14T04:00:00.000Z,2026-04-14T22:21:55.000Z,"Other | Floor Number(s) 21 through 21, Floor Number(s) 20 through 20",9415000,PR,PR,PR,023178,40.752139,-74.001148,104,03,9903,Chelsea-Hudson Yards,NYC DOB NOW Build Job Application Filings
dob-now-M01368683-S4,M01368683-S4,MANHATTAN,10,HUDSON YARDS,10 HUDSON YARDS,07102,Alteration,Pending Prof Cert QA Assignment,2026-04-14T04:00:00.000Z,2026-04-15T00:10:15.000Z,"Other | Floor Number(s) 20 through 20, Floor Number(s) 21 through 21",18500,PR,PR,PR,108958,40.752139,-74.001148,104,03,9903,Chelsea-Hudson Yards,NYC DOB NOW Build Job Application Filings
dob-now-Q01348305-S4,Q01348305-S4,QUEENS,10-32,47 ROAD,10-32 47 ROAD,10461,ALT-CO - New Building with Existing Elements to Remain,Pending Plan Examiner Assignment,2026-04-14T04:00:00.000Z,2026-04-14T19:37:51.000Z,Other | Open Space,53000,Private Owner,N/A,N/A,087622,40.74463,-73.952558,402,26,701,Long Island City-Hunters Point,NYC DOB NOW Build Job Application Filings
dob-now-Q01348305-S3,Q01348305-S3,QUEENS,10-32,47 ROAD,10-32 47 ROAD,10461,ALT-CO - New Building with Existing Elements to Remain,Pending Plan Examiner Assignment,2026-04-14T04:00:00.000Z,2026-04-15T03:28:58.000Z,Other | Cellar-SO-2332-Q01348305-I1,425000,Private Owner,N/A,N/A,087622,40.74463,-73.952558,402,26,701,Long Island City-Hunters Point,NYC DOB NOW Build Job Application Filings
dob-now-Q01348305-S5,Q01348305-S5,QUEENS,10-32,47 ROAD,10-32 47 ROAD,10461,ALT-CO - New Building with Existing Elements to Remain,Pending Plan Examiner Assignment,2026-04-14T04:00:00.000Z,2026-04-14T19:30:23.000Z,Other | Open Space,49000,Private Owner,N/A,N/A,087622,40.74463,-73.952558,402,26,701,Long Island City-Hunters Point,NYC DOB NOW Build Job Application Filings
dob-now-Q01348305-S2,Q01348305-S2,QUEENS,10-32,47 ROAD,10-32 47 ROAD,10461,ALT-CO - New Building with Existing Elements to Remain,Pending Plan Examiner Assignment,2026-04-14T04:00:00.000Z,2026-04-15T03:11:31.000Z,"Other | Floor Number(s)-1-SO-9866-Q01348305-I1, Roof-SO-2057-Q01348305-I1, Floor Number(s)-2-SO-6482-Q013483",225000,Private Owner,N/A,N/A,087622,40.74463,-73.952558,402,26,701,Long Island City-Hunters Point,NYC DOB NOW Build Job Application Filings
dob-now-B01386022-I1,B01386022-I1,BROOKLYN,100,HINSDALE STREET,100 HINSDALE STREET,11201,No Work,Pending Plan Examiner Assignment,2026-04-14T04:00:00.000Z,2026-04-14T22:35:17.000Z,Floor Number(s) 1 through 1,0,Private Owner,N/A,N/A,034915,40.673069,-73.901007,305,37,1144,East New York (North),NYC DOB NOW Build Job Application Filings
dob-now-M01366204-I1,M01366204-I1,MANHATTAN,100,PARK AVENUE,100 PARK AVENUE,10011,Alteration,Prof Cert QA Review,2026-04-14T04:00:00.000Z,2026-04-14T21:41:17.000Z,Other | Floor Number(s) 21 through 21,90000,SL GREEN REALTY CORP,SL GREEN REALTY CORP,SL GREEN REALTY CORP,022466,40.751,-73.978504,105,04,82,Midtown-Times Square,NYC DOB NOW Build Job Application Filings
